2015-11-09 19:37:02,666 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/04_Views/pom.xml.
2015-11-09 19:37:02,844 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 05_REST_CRUD:05_REST_CRUD:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/05_REST_CRUD/pom.xml.
2015-11-09 19:37:02,875 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 05_REST_CRUD:05_REST_CRUD:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/05_REST_CRUD/pom.xml.
2015-11-09 19:37:03,204 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:03,205 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/05_REST_CRUD/src/main/resources
2015-11-09 19:37:03,207 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:03,207 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/05_REST_CRUD/src/test/resources
2015-11-09 19:37:03,340 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 06_JSON:06_JSON:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/06_JSON/pom.xml.
2015-11-09 19:37:03,699 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:03,700 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/06_JSON/src/main/resources
2015-11-09 19:37:03,702 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:03,703 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/06_JSON/src/test/resources
2015-11-09 19:37:04,442 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/01_HelloWorld/pom.xml.
2015-11-09 19:37:04,691 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/02_Basics/pom.xml.
2015-11-09 19:37:04,733 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/03_StaticResources/pom.xml.
2015-11-09 19:37:04,796 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 01_HelloWorld:01_HelloWorld:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/04_Views/pom.xml.
2015-11-09 19:37:04,873 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 05_REST_CRUD:05_REST_CRUD:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/05_REST_CRUD/pom.xml.
2015-11-09 19:37:04,919 [Worker-57] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 06_JSON:06_JSON:0.0.1-SNAPSHOT @ /Users/user/Desktop/LearnSpark/06_JSON/pom.xml.
2015-11-09 19:37:05,619 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:05,620 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/01_HelloWorld/src/main/resources
2015-11-09 19:37:05,622 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:05,623 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/01_HelloWorld/src/test/resources
2015-11-09 19:37:05,786 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:05,786 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/02_Basics/src/main/resources
2015-11-09 19:37:05,788 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:05,789 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/02_Basics/src/test/resources
2015-11-09 19:37:05,952 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:05,953 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/03_StaticResources/src/main/resources
2015-11-09 19:37:05,955 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:05,955 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/03_StaticResources/src/test/resources
2015-11-09 19:37:06,131 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:06,132 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/04_Views/src/main/resources
2015-11-09 19:37:06,135 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:06,135 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/04_Views/src/test/resources
2015-11-09 19:37:06,394 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:06,395 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/05_REST_CRUD/src/main/resources
2015-11-09 19:37:06,396 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:06,398 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/05_REST_CRUD/src/test/resources
2015-11-09 19:37:06,993 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:06,995 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/06_JSON/src/main/resources
2015-11-09 19:37:06,996 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-09 19:37:06,998 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/user/Desktop/LearnSpark/06_JSON/src/test/resources
